Name,Playtime,Store URL,AppID,Genre,Base64 Image,Image URL,Game Complete
DARK SOULS II: Scholar of the First Sin,2744,http://store.steampowered.com/app/335300,335300,,,,
Hyperdimension Neptunia Re;Birth3 V Generation,0,http://store.steampowered.com/app/353270,353270,,,,
Five Nights at Freddy's 3,0,http://store.steampowered.com/app/354140,354140,,,,
LIGHTNING RETURNS: FINAL FANTASY XIII,0,http://store.steampowered.com/app/345350,345350,,,,
FINAL FANTASY X/X-2 HD Remaster,18,http://store.steampowered.com/app/359870,359870,,,,
The Evil Within,90,http://store.steampowered.com/app/268050,268050,,,,
Dragon's Dogma: Dark Arisen,0,http://store.steampowered.com/app/367500,367500,,,,
Hollow Knight,258,http://store.steampowered.com/app/367520,367520,,,,
Devil May Cry 4 Special Edition,0,http://store.steampowered.com/app/329050,329050,,,,
Hyperdimension Neptunia Re;Birth2 Sisters Generation,0,http://store.steampowered.com/app/351710,351710,,,,
Tales of Symphonia,245,http://store.steampowered.com/app/372360,372360,,,,
The Witcher 3: Wild Hunt,89,http://store.steampowered.com/app/292030,292030,,,,
Wolfenstein: The Old Blood ,212,http://store.steampowered.com/app/350080,350080,,,,
DOOM,3312,http://store.steampowered.com/app/379720,379720,,,,
FINAL FANTASY V,0,http://store.steampowered.com/app/382890,382890,,,,
FINAL FANTASY VI,0,http://store.steampowered.com/app/382900,382900,,,,
Dead Island Definitive Edition,301,http://store.steampowered.com/app/383150,383150,,,,
Dead Island Riptide Definitive Edition,112,http://store.steampowered.com/app/383180,383180,,,,
Tales of Zestiria,15,http://store.steampowered.com/app/351970,351970,,,,
Five Nights at Freddy's 4,0,http://store.steampowered.com/app/388090,388090,,,,
Mugen Souls,7,http://store.steampowered.com/app/389870,389870,,,,
Borderlands 3,1526,http://store.steampowered.com/app/397540,397540,,,,
Oddworld: Abe's Oddysee,5,http://store.steampowered.com/app/15700,15700,,,,
Resident Evil 0,182,http://store.steampowered.com/app/339340,339340,,,,
Dead Rising,0,http://store.steampowered.com/app/427190,427190,,,,
Tales of Berseria,0,http://store.steampowered.com/app/429660,429660,,,,
FINAL FANTASY IX,3,http://store.steampowered.com/app/377840,377840,,,,
Aseprite,139,http://store.steampowered.com/app/431730,431730,,,,
Rise of the Tomb Raider,2384,http://store.steampowered.com/app/391220,391220,,,,
FINAL FANTASY XIV Online,12513,http://store.steampowered.com/app/39210,39210,,,,
DARK SOULS III,2749,http://store.steampowered.com/app/374320,374320,,,,
No Man's Sky,1682,http://store.steampowered.com/app/275850,275850,,,,
Halo Wars: Definitive Edition,8,http://store.steampowered.com/app/459220,459220,,,,
SEGA Mega Drive & Genesis Classics,433,http://store.steampowered.com/app/34270,34270,,,,
Sonic CD,1,http://store.steampowered.com/app/200940,200940,,,,
Yomawari: Night Alone,14,http://store.steampowered.com/app/477870,477870,,,,
Prey,0,http://store.steampowered.com/app/480490,480490,,,,
I am Setsuna,1,http://store.steampowered.com/app/441830,441830,,,,
Layers of Fear (2016),495,http://store.steampowered.com/app/391720,391720,,,,
Five Nights at Freddy's: Sister Location,0,http://store.steampowered.com/app/506610,506610,,,,
Shadow Warrior 2,1545,http://store.steampowered.com/app/324800,324800,,,,
.hack//G.U. Last Recode,21,http://store.steampowered.com/app/525480,525480,,,,
Mortal Kombat X,141,http://store.steampowered.com/app/307780,307780,,,,
South Park: The Stick of Truth,1328,http://store.steampowered.com/app/213670,213670,,,,
Dead Rising 4,0,http://store.steampowered.com/app/543460,543460,,,,
Deus Ex: Mankind Divided,0,http://store.steampowered.com/app/337000,337000,,,,
RAGE 2,2400,http://store.steampowered.com/app/548570,548570,,,,
The Elder Scrolls V: Skyrim Special Edition,3410,http://store.steampowered.com/app/489830,489830,,,,
Heartbound,0,http://store.steampowered.com/app/567380,567380,,,,
PUBG: BATTLEGROUNDS,29,http://store.steampowered.com/app/578080,578080,,,,
Sonic Mania,319,http://store.steampowered.com/app/584400,584400,,,,
FINAL FANTASY XII THE ZODIAC AGE,6031,http://store.steampowered.com/app/595520,595520,,,,
STAR OCEAN - THE LAST HOPE - 4K & Full HD Remaster,91,http://store.steampowered.com/app/609150,609150,,,,
Wolfenstein II: The New Colossus,401,http://store.steampowered.com/app/612880,612880,,,,
Bayonetta,914,http://store.steampowered.com/app/460790,460790,,,,
Devil May Cry HD Collection,0,http://store.steampowered.com/app/631510,631510,,,,
FINAL FANTASY XV WINDOWS EDITION,1722,http://store.steampowered.com/app/637650,637650,,,,
GUILTY GEAR Xrd REV 2,30,http://store.steampowered.com/app/520440,520440,,,,
The Evil Within 2,4458,http://store.steampowered.com/app/601430,601430,,,,
Hellblade: Senua's Sacrifice,381,http://store.steampowered.com/app/414340,414340,,,,
Hellblade: Senua's Sacrifice VR Edition,0,http://store.steampowered.com/app/747350,747350,,,,
Bloodstained: Ritual of the Night,7352,http://store.steampowered.com/app/692850,692850,,,,
Fallout 4,266,http://store.steampowered.com/app/377160,377160,,,,
Ys VIII: Lacrimosa of Dana,0,http://store.steampowered.com/app/579180,579180,,,,
The Curse of Monkey Island,1,http://store.steampowered.com/app/730820,730820,,,,
Escape from Monkey Island,3,http://store.steampowered.com/app/730830,730830,,,,
DRAGON BALL FighterZ,134,http://store.steampowered.com/app/678950,678950,,,,
Tales of Arise,0,http://store.steampowered.com/app/740130,740130,,,,
Resident Evil 7 Biohazard,1119,http://store.steampowered.com/app/418370,418370,,,,
South Park The Fractured But Whole,1036,http://store.steampowered.com/app/488790,488790,,,,
Warhammer: Vermintide 2,21,http://store.steampowered.com/app/552500,552500,,,,
Bloodstained: Curse of the Moon,183,http://store.steampowered.com/app/838310,838310,,,,
Shadow of the Tomb Raider,343,http://store.steampowered.com/app/750920,750920,,,,
Control Ultimate Edition,507,http://store.steampowered.com/app/870780,870780,,,,
SOULCALIBUR VI,0,http://store.steampowered.com/app/544750,544750,,,,
Quake Champions,721,http://store.steampowered.com/app/611500,611500,,,,
Resident Evil 2,1475,http://store.steampowered.com/app/883710,883710,,,,
Capcom Beat 'Em Up Bundle,0,http://store.steampowered.com/app/885150,885150,,,,
Monster Hunter: World,11137,http://store.steampowered.com/app/582010,582010,,,,
Metro Exodus,0,http://store.steampowered.com/app/412020,412020,,,,
